Date of birth;Place of birth;Age;Height;Citizenship;Position;Foot;Joined;Contract expires;Outfitter;Player agent;Current club;Max_Val;Date_Max_Val;Name;NAME N.;tranfermarkt_id;Player_id;Numero;Valore;Date of last contract extension;Contract option;On loan from;Contract there expires;2nd club;3nd club
Mar 17, 1986;Sarajevo;37;193;Bosnia-Herzegovina;Attack - Centre-Forward;right;Aug 14, 2021;Jun 30, 2023;adidas;World Soccer Agency;Inter Milan;€32.00m;Feb 6, 2012;Edin Dzeko;DZEKO E.;28396;2938;9;€4.00m;;;;;;
May 16, 2002;Roma;20;179;Italy;midfield - Central Midfield;right;Jul 1, 2021;Jun 30, 2025;adidas;BSM;AS Roma;€3.00m;Mar 21, 2023;Edoardo Bove;BOVE E.;562049;99999999;52;€3.00m;Dec 29, 2021;;;;;
Nov 2, 1993;Milano;29;193;Italy;Defender - Centre-Back;right;Jan 12, 2022;Jun 30, 2024;;Gr Sports;Cagliari Calcio;€3.00m;Dec 29, 2017;Edoardo Goldaniga;GOLDANIGA E.;242940;2948;3;€800k;;;;;;
Nov 2, 1993;Milano;29;193;Italy;Defender - Centre-Back;right;Jan 12, 2022;Jun 30, 2024;;Gr Sports;Cagliari Calcio;€3.00m;Dec 29, 2017;Edoardo Goldaniga;GOLDANIGA E.;242940;2948;3;€800k;;;;;;
Sep 29, 2003;Soave;19;198;Italy;Goalkeeper;right;Jul 1, 2022;-;;IntProFoot;Udinese Calcio;€50k;Jun 23, 2022;Edoardo Piana;PIANA E.;612059;99999999;99;€50k;;;;;;
Jan 3, 2003;Padova;20;184;Italy;Defender - Left-Back;left;Sep 1, 2020;-;;Patrick Bastianelli;Sassuolo Primavera;€100k;Jun 23, 2022;Edoardo Pieragnolo;PIERAGNOLO E.;691825;99999999;3;€100k;;;;;;
Feb 6, 2001;Segrate;22;186;Italy;Attack - Centre-Forward;right;Sep 1, 2022;-;Nike;TMP SOCCER srl;Delfino Pescara 1936;€800k;Dec 29, 2020;Edoardo Vergani;VERGANI E.;421780;99999999;9;€500k;;;;;;
May 15, 2004;Lyon;18;194;Bosnia-Herzegovina / France;Goalkeeper;;Dec 1, 2022;-;;;Cagliari Calcio;€50k;Feb 1, 2023;Eldin Lolic;LOLIC E.;740517;99999999;12;€50k;;;;;Cagliari Primavera (#1);
Jun 29, 1995;Jarkurgan, Surxondaryo Region;27;190;Uzbekistan;Attack - Centre-Forward;right;Jan 30, 2023;Jun 30, 2023;;prosm;Spezia Calcio;€14.00m;Oct 14, 2021;Eldor Shomurodov;SHOMURODOV E.;358166;99999999;14;€7.00m;;;AS Roma;Jun 30, 2026;;
Nov 16, 1995;Yaoundé;27;184;Cameroon;midfield - Central Midfield;right;Jul 1, 2022;Jun 30, 2025;;Maxime Nana;SSC Napoli;€40.00m;Mar 21, 2023;Frank Anguissa;ANGUISSA A. Z.;354361;713;99;€40.00m;Nov 11, 2022;both parties 2 years;;;;
Jan 9, 2003;Dibër;20;183;Albania;Attack - Centre-Forward;right;Aug 21, 2020;Jun 30, 2026;;CAA Base Ltd;Fiorentina Primavera;€250k;Jun 23, 2022;Eljon Toci;TOCI E.;724418;99999999;29;€250k;Mar 8, 2023;both parties 3 years;;;;
Feb 2, 1994;Shkodër;29;182;Albania;Defender - Right-Back;right;Jul 1, 2021;Jun 30, 2025;adidas;M.A.R.A.T. Football Management;SS Lazio;€25.00m;Jun 7, 2018;Elseid Hysaj;HYSAJ E.;200056;3022;23;€4.00m;;;;;;
Aug 24, 2000;Negrar;22;175;Italy / Brazil;Attack - Right Winger;right;Jan 31, 2023;Jun 30, 2023;;TMP SOCCER srl;FC Empoli;€6.00m;Jun 3, 2021;Emanuel Vignato;VIGNATO E.;394346;99999999;55;€2.80m;;Option to buy;Bologna FC 1909;Jun 30, 2024;;
Nov 22, 2001;Merano/Meran;21;179;Italy;midfield - Central Midfield;both;Jan 31, 2023;-;;P&P Sport Management S.A.M.;Pisa Sporting Club;€800k;Aug 21, 2020;Emanuele Zuelli;ZUELLI E.;477556;99999999;21;€600k;;;;;;
Jan 18, 1997;Mataram;26;192;Italy;Goalkeeper;right;Jul 1, 2019;Jun 30, 2026;Nike;TMP SOCCER srl;UC Sampdoria;€15.00m;Mar 1, 2019;Emil Audero;AUDERO E.;256339;99999999;1;€6.00m;Mar 16, 2021;;;;;
Mar 12, 1999;Derby;24;189;Norway;midfield - Central Midfield;left;Jul 1, 2022;Jun 30, 2026;Nike;Solbakken / Player Solution;US Salernitana 1919;€4.00m;Jun 7, 2022;Emil Bohinen;BOHINEN E.;406806;99999999;8;€4.00m;;;;;;
Sep 3, 2001;Finnsnes;21;175;Norway;Attack - Left Winger;right;Jul 1, 2022;Jun 30, 2026;;Nordic Sky;US Sassuolo;€2.50m;Nov 11, 2022;Emil Konradsen Ceide;CEIDE E.;508371;99999999;15;€2.50m;;;;;;
May 3, 2003;Norrköping;19;188;Sweden / The Gambia;Attack - Centre-Forward;right;Mar 25, 2023;Nov 30, 2023;;Nordic Sky;IFK Norrköping;€150k;Dec 22, 2022;Emil Roback;ROBACK E.;673495;99999999;45;€150k;;;AC Milan;Jun 30, 2025;;
Jun 25, 2002;Reggio Emilia;20;176;Sweden / Nigeria;Attack - Centre-Forward;right;Jan 31, 2023;Jun 30, 2023;;Reset Group Srl;AC Perugia Calcio;€300k;Dec 28, 2021;Emmanuel Ekong;EKONG E.;603891;99999999;14;€300k;;;FC Empoli;Jun 30, 2027;;
Jan 11, 1994;Palermo;29;181;Ghana / Italy;Attack - Left Winger;right;Aug 9, 2016;Jun 30, 2025;;;Spezia Calcio;€2.50m;Mar 23, 2021;Emmanuel Gyasi;GYASI E.;241076;19873;11;€2.50m;Mar 2, 2022;;;;;
Nov 10, 1999;Bergamo;23;183;Italy;Defender - Right-Back;right;Jul 1, 2022;-;;LUDUS PRO MANAGEMENT LTD;Parma Calcio 1913;€2.40m;Dec 22, 2022;Enrico Del Prato;PRATO E.;392956;99999999;15;€2.40m;;;;;;
Mar 26, 2002;Santo Stefano Quisquina;21;184;Italy;midfield - Central Midfield;left;Aug 30, 2022;Jun 30, 2024;;Reset Group Srl;US Fiorenzuola 1922;€200k;Jun 30, 2021;Enrico Di Ges;GES E.;582302;99999999;26;€125k;;;;;;
Jan 15, 1994;Antofagasta;29;187;Chile;midfield - Defensive Midfield;right;Jul 29, 2022;Dec 31, 2025;Nike;Fernando Felicevich;CR Flamengo;€15.00m;Dec 12, 2019;Erick Pulgar;PULGAR E.;215616;99999999;5;€5.00m;;;;;;
Jun 28, 1992;Caltanissetta;30;184;Venezuela / Italy;Attack - Centre-Forward;left;Jan 31, 2023;Jun 30, 2025;;Football Now Limited;Pisa Sporting Club;€6.00m;Feb 10, 2021;Ernesto Torregrossa;TORREGROSSA E.;159883;99999999;10;€2.40m;;;;;;
Sep 14, 2000;Exeter;22;183;Wales / England;Defender - Centre-Back;right;Sep 1, 2022;Jun 30, 2023;;Platinum One Group;Spezia Calcio;€15.00m;May 25, 2021;Ethan Ampadu;AMPADU E.;392771;11632;4;€9.00m;;;Chelsea FC;Jun 30, 2024;;
Mar 10, 1989;Prishtinë;34;194;Albania / Sweden;Goalkeeper;left;Jul 1, 2022;Jun 30, 2024;;P&P Sport Management S.A.M.;Torino FC;€7.00m;Dec 29, 2017;Etrit Berisha;BERISHA E.;77825;99999999;1;€600k;;;;;;
May 19, 2003;Fondi;19;198;Italy;Goalkeeper;;Jul 26, 2022;Jun 30, 2023;;;Arzachena Academy;€50k;Feb 6, 2023;Eugenio Fusco;FUSCO E.;704260;99999999;22;€50k;;;;;;
Apr 3, 1996;Los Palacios y Villafranca;27;189;Spain;midfield - Central Midfield;left;Aug 30, 2022;Jun 30, 2027;adidas;YOU FIRST;Paris Saint-Germain;€60.00m;Oct 8, 2019;Fabi n Ruiz;FABIAN RUIZ;350219;12924;8;€38.00m;;;;;;
Nov 9, 2000;Solofra;22;178;Italy;Defender - Left-Back;left;Sep 22, 2020;Jun 30, 2025;;M.A.R.A.T. Football Management;FC Empoli;€10.00m;Mar 21, 2023;Fabiano Parisi;PARISI F.;547985;33392;65;€10.00m;Aug 8, 2022;;;;;
Apr 20, 2002;Seriate;21;;Italy;Defender - Centre-Back;right;Jul 30, 2022;Jun 30, 2025;;;Latina Calcio 1932;€100k;Dec 21, 2022;Fabio Cortinovis;CORTINOVIS F.;614498;99999999;75;€100k;;;;;;
Apr 24, 1997;Riva del Garda;25;182;Italy;Defender - Right-Back;right;Sep 1, 2022;Jun 30, 2023;adidas;CAA Base Ltd;Hellas Verona;€5.00m;Mar 1, 2019;Fabio Depaoli;DEPAOLI F.;324282;99999999;29;€3.00m;;Option to buy;UC Sampdoria;Jun 30, 2024;;
Apr 24, 1997;Riva del Garda;25;182;Italy;Defender - Right-Back;right;Sep 1, 2022;Jun 30, 2023;adidas;CAA Base Ltd;Hellas Verona;€5.00m;Mar 1, 2019;Fabio Depaoli;DEPAOLI F.;324282;99999999;29;€3.00m;;Option to buy;UC Sampdoria;Jun 30, 2024;;
Aug 3, 2003;Pinerolo;19;180;Italy;midfield - Central Midfield;right;Jul 1, 2022;Jun 30, 2026;;Branchini Associati S.p.A.;Juventus FC;€15.00m;Sep 27, 2022;Fabio Miretti;MIRETTI F.;571607;99999999;20;€15.00m;;;;;;
Jan 31, 1983;Castellammare di Stabia;40;180;Italy;Attack - Centre-Forward;right;Jul 1, 2016;Jun 30, 2023;;AGB Sport Management;UC Sampdoria;€17.50m;Jan 20, 2011;Fabio Quagliarella;QUAGLIARELLA F.;22328;3281;27;€1.00m;Jul 4, 2022;;;;;
Feb 1, 1991;Saint-Priest-en-Jarez;32;184;Algeria / France;Defender - Left-Back;left;Jan 31, 2023;Jun 30, 2023;Nike;Gestifute;Angers SCO;€25.00m;Dec 29, 2017;Faouzi Ghoulam;GHOULAM F.;126656;99999999;8;€1.00m;;;;;;
Feb 16, 1994;Carrara;29;183;Italy;Attack - Right Winger;left;Jul 15, 2022;Dec 31, 2026;;;Toronto FC;€45.00m;Oct 12, 2018;Federico Bernardeschi;BERNARDESCHI F.;197300;3333;10;€8.00m;;;;;;
May 21, 1997;Manerbio;25;182;Italy;Attack - Centre-Forward;left;Jul 26, 2022;Jun 30, 2026;Nike;TMP SOCCER srl;US Salernitana 1919;€5.00m;Aug 25, 2020;Federico Bonazzoli;BONAZZOLI F.;241527;19930;9;€4.50m;;;;;;
May 11, 1992;Livorno;30;187;Italy;Defender - Centre-Back;right;Jul 1, 2021;Jun 30, 2024;;P&P Sport Management S.A.M.;Hellas Verona;€4.00m;Jun 7, 2022;Federico Ceccherini;CECCHERINI F.;163639;3335;17;€3.00m;;;;;;
Oct 25, 1997;Genova;25;175;Italy;Attack - Left Winger;right;Jul 1, 2022;Jun 30, 2025;Nike;LIAN Sports Group;Juventus FC;€70.00m;Jul 15, 2021;Federico Chiesa;CHIESA F.;341092;99999999;7;€50.00m;;;;;;
Jun 14, 1994;Pisa;28;171;Italy;Attack - Left Winger;right;Jul 31, 2022;Jun 30, 2025;;YOU FIRST;US Lecce;€5.00m;Oct 12, 2018;Federico Di Francesco;DI FRANCESCO F.;38607;3336;11;€1.50m;;;;;;
Nov 10, 1997;Milano;25;175;Italy;Defender - Left-Back;left;Jul 5, 2018;Jun 30, 2026;adidas;;Inter Milan;€25.00m;Nov 11, 2022;Federico Dimarco;DIMARCO F.;198116;19036;32;€25.00m;Dec 23, 2021;;;;;
Mar 17, 1987;Buenos Aires;36;195;Argentina / Italy;Defender - Centre-Back;right;Jan 29, 2022;Jun 30, 2024;adidas;Football Management Sanchez SL;US Salernitana 1919;€13.00m;Jun 7, 2018;Federico Fazio;FAZIO F.;45314;3338;17;€600k;;;;;;
Feb 7, 1983;Bassano del Grappa;40;188;Italy;Goalkeeper;left;Jan 21, 2023;Jun 30, 2023;;Gea World;Spezia Calcio;€13.00m;Jun 19, 2013;Federico Marchetti;MARCHETTI F.;22318;99999999;22;€50k;;;;;;
Jun 4, 1991;Asunción;31;187;Paraguay;Attack - Centre-Forward;right;Jan 26, 2023;Jun 30, 2023;;;Club Guaraní;€6.00m;Dec 20, 2018;Federico Santander;SANTANDER F.;99180;99999999;9;€450k;;;Reggina 1914;Jun 30, 2024;;
Apr 1, 2003;Genova;20;;Italy;midfield - Central Midfield;right;Jul 14, 2022;Jun 30, 2023;;;Calcio Lecco 1912;€225k;Dec 19, 2022;Federico Zuccon;ZUCCON F.;567472;99999999;98;€225k;;;Atalanta Primavera;-;;
Apr 15, 1993;Brasília;30;175;Brazil;Attack - Right Winger;right;Jul 16, 2021;Jun 30, 2024;adidas;Conquest;SS Lazio;€45.00m;Sep 12, 2019;Felipe Anderson;FELIPE ANDERSON;159372;3353;7;€15.00m;;;;;;
Sep 5, 1988;Guayaquil;34;183;Ecuador / Spain;Attack - Centre-Forward;left;Aug 28, 2022;Jun 30, 2023;;Matteo Materazzi;Abha Club;€10.00m;Aug 8, 2011;Felipe Caicedo;CAICEDO F.;37834;99999999;20;€900k;;;;;;
Sep 5, 1988;Guayaquil;34;183;Ecuador / Spain;Attack - Centre-Forward;left;Aug 28, 2022;Jun 30, 2023;;Matteo Materazzi;Abha Club;€10.00m;Aug 8, 2011;Felipe Caicedo;CAICEDO F.;37834;99999999;20;€900k;;;;;;
Sep 5, 1988;Guayaquil;34;183;Ecuador / Spain;Attack - Centre-Forward;left;Aug 28, 2022;Jun 30, 2023;;Matteo Materazzi;Abha Club;€10.00m;Aug 8, 2011;Felipe Caicedo;CAICEDO F.;37834;99999999;20;€900k;;;;;;
Jan 19, 2003;Sunyani;20;175;Ghana;Attack - Centre-Forward;right;Aug 29, 2022;-;;Arthurlegacy Sports M.L.;US Cremonese;€6.00m;Jun 7, 2022;Felix Afena Gyan;GYAN F.;872380;99999999;20;€5.50m;;;;;;
Jan 15, 1990;Rosario;33;172;Italy / Argentina;Attack - Second Striker;right;Jan 14, 2022;Nov 30, 2023;;;Johor Darul Ta'zim;€7.00m;Sep 18, 2017;Fernando Forestieri;FORESTIERI F.;44948;99999999;45;€850k;;;;;;
Dec 19, 1997;Calgary, Alberta;25;185;England / Canada;Defender - Centre-Back;right;Jul 1, 2021;Jun 30, 2027;adidas;SPORT INVEST;AC Milan;€50.00m;Jun 7, 2022;Fikayo Tomori;TOMORI F.;303254;18779;23;€45.00m;Aug 12, 2022;;;;;
Jul 13, 1997;Zagreb;25;194;Croatia;Defender - Centre-Back;right;Sep 1, 2022;Jun 30, 2023;;FutureBall;Eintracht Braunschweig;€11.00m;Mar 18, 2018;Filip Benkovic;BENKOVIC F.;293168;99999999;18;€1.70m;;;Udinese Calcio;Jun 30, 2025;;
Jan 30, 1992;Obrenovac;31;181;Serbia;midfield - Attacking Midfield;right;Aug 1, 2022;Jun 30, 2024;;GG11;UC Sampdoria;€10.00m;Dec 29, 2020;Filip Djuricic;DJURICIC F.;94307;99999999;7;€2.50m;;Option for a further year;;;;
Mar 29, 1995;Firenze;28;180;Italy;midfield - Central Midfield;left;Jul 13, 2019;Jun 30, 2025;adidas;MM-Management;FC Empoli;€3.50m;Nov 11, 2022;Filippo Bandinelli;BANDINELLI F.;240934;19973;25;€3.50m;Oct 24, 2022;;;;;
May 3, 1999;Torino;23;191;Italy;Defender - Centre-Back;left;Jan 10, 2023;Jun 30, 2023;Puma;Gea World;Calcio Padova;€400k;Dec 28, 2021;Filippo Delli Carri;CARRI F.;393904;99999999;2;€300k;;;Como 1907;Jun 30, 2024;;
Aug 28, 2003;Camaiore;19;;Italy;Attack - Second Striker;right;Sep 1, 2020;Jun 30, 2024;;CT10 management Srl;Fiorentina Primavera;€300k;Jun 23, 2022;Filippo Distefano;DISTEFANO F.;669915;99999999;11;€300k;Mar 10, 2022;;;;;
Jul 30, 2002;;20;;Italy;Defender - Centre-Back;right;Jul 7, 2022;Jun 30, 2023;;;US Fiorenzuola 1922;€150k;Jun 23, 2022;Filippo Frison;FRISON F.;610383;99999999;5;€150k;;;Fiorentina Primavera;-;;
Feb 18, 1999;Bergamo;24;186;Italy;midfield - Central Midfield;right;Aug 31, 2022;Jun 30, 2023;;Gr Sports;Standard Liège;€2.00m;Jun 7, 2022;Filippo Melegoni;MELEGONI F.;315862;19800;21;€1.80m;;;Genoa CFC;-;;
Dec 4, 2002;Pisa;20;188;Italy;Goalkeeper;right;Aug 26, 2021;Jun 30, 2024;Puma;;Venezia FC;€250k;Jun 7, 2022;Filippo Neri;NERI F.;616228;99999999;24;€250k;;;;;;
May 14, 2001;Perugia;21;186;Italy;midfield - Central Midfield;both;Jul 21, 2022;Jun 30, 2023;;BestFoot FM;AC Monza;€1.80m;Jun 6, 2022;Filippo Ranocchia;RANOCCHIA F.;489611;99999999;22;€1.80m;;Buy-option with buy-back option;Juventus FC;Jun 30, 2026;;
May 26, 1997;Fano;25;186;Italy;Defender - Centre-Back;right;Sep 17, 2020;Jun 30, 2024;;TMP SOCCER srl;US Sassuolo;€7.00m;Mar 24, 2018;Filippo Romagna;ROMAGNA F.;256678;99999999;19;€800k;;;;;;
Feb 8, 2003;Verona;20;181;Italy;midfield - Central Midfield;right;Jul 1, 2022;Jun 30, 2026;;Football Capital;Hellas Verona;€1.00m;Sep 27, 2022;Filippo Terracciano;TERRACCIANO F.;631007;99999999;24;€1.00m;Aug 4, 2022;;;;;
Jan 6, 2002;Roma;21;180;Italy;midfield - Defensive Midfield;right;Jan 2, 2023;Jun 30, 2025;;Vigo Global Sport Services Srl;NS Mura;€300k;Jun 30, 2021;Filippo Tripi;TRIPI F.;628645;99999999;16;€300k;;;;;;
Jan 24, 2000;Asti;23;178;Italy;Attack - Centre-Forward;right;Jul 1, 2022;-;;FUTURA 2;Brescia Calcio;€900k;Jun 6, 2022;Flavio Bianchi;BIANCHI F.;364132;99999999;24;€900k;;;;;;
Jan 3, 1997;Conflans-Sainte-Honorine;26;182;Senegal / France;Defender - Left-Back;left;Jul 18, 2021;Jun 30, 2025;adidas;BS Group - BS Law;AC Milan;€12.00m;Mar 7, 2019;Fod  Ballo Tour;TOUR F.;296422;99999999;5;€3.50m;;;;;;
Nov 20, 1992;Renens;30;183;Albania / Switzerland;Defender - Centre-Back;right;Aug 27, 2022;-;;CFA Sports;Benevento Calcio;€1.00m;Dec 20, 2018;Fr d ric Veseli;VESELI F.;111433;99999999;55;€350k;;;;;;
Feb 10, 1988;Vizzolo Predabissi;35;192;Italy;Defender - Centre-Back;left;Sep 1, 2022;Jun 30, 2023;Nike;P&P Sport Management S.A.M.;Inter Milan;€15.00m;Dec 12, 2019;Francesco Acerbi;ACERBI F.;131075;3532;15;€4.00m;;Option to buy;SS Lazio;Jun 30, 2025;;
Jan 18, 1992;Livorno;31;188;Italy;Goalkeeper;right;Jul 17, 2021;Jun 30, 2023;;;Bologna FC 1909;€9.00m;Jul 1, 2014;Francesco Bardi;BARDI F.;110925;99999999;1;€500k;Jul 5, 2022;Option for a further year;;;;
Aug 6, 1987;Altamura;35;181;Italy;Attack - Centre-Forward;right;Jan 2, 2023;Jun 30, 2023;;Fedele Management S.r.l;FC Empoli;€7.50m;Aug 25, 2020;Francesco Caputo;CAPUTO F.;84765;3539;19;€1.50m;;Obligation to buy with conditions;UC Sampdoria;Jun 30, 2024;;
Aug 6, 1987;Altamura;35;181;Italy;Attack - Centre-Forward;right;Jan 2, 2023;Jun 30, 2023;;Fedele Management S.r.l;FC Empoli;€7.50m;Aug 25, 2020;Francesco Caputo;CAPUTO F.;84765;3539;19;€1.50m;;Obligation to buy with conditions;UC Sampdoria;Jun 30, 2024;;
Jul 16, 1997;Sarzana;25;183;Italy;midfield - Central Midfield;right;Aug 30, 2022;Jun 30, 2023;;Gr Sports;Ternana Calcio;€3.50m;Oct 13, 2017;Francesco Cassata;CASSATA F.;301236;99999999;29;€800k;;;Genoa CFC;-;;
Apr 20, 1996;Palermo;27;177;Italy;Attack - Left Winger;right;Aug 16, 2022;Jun 30, 2025;Puma;Italian Managers Group s.r.l.;Palermo FC;€2.00m;Jun 6, 2022;Francesco Di Mariano;MARIANO F.;238950;99999999;10;€1.40m;;;;;;
Apr 20, 1990;Trani;33;186;Italy;midfield - Defensive Midfield;left;Jul 1, 2022;Jun 30, 2025;;M.A.R.A.T. Football Management;Ternana Calcio;€700k;Aug 6, 2009;Francesco Di Tacchio;DI TACCHIO F.;84766;19561;14;€400k;;;;;;
May 1, 1993;Roma;29;187;Italy;Attack - Centre-Forward;left;Jan 24, 2023;Jun 30, 2023;;G.E.V. Sport&management srl;Ascoli Calcio;€2.70m;Jun 24, 2021;Francesco Forte;FORTE F.;164534;99999999;11;€1.50m;;Obligation to buy with conditions;Benevento Calcio;Jun 30, 2024;;
Mar 19, 2003;Genova;20;183;Italy;Defender - Left-Back;left;Sep 1, 2020;Jun 30, 2024;;SEG;Sampdoria Primavera;€150k;Jun 23, 2022;Francesco Migliardi;MIGLIARDI F.;622800;99999999;3;€150k;Sep 21, 2022;;;;;
Apr 27, 1991;Merate;31;193;Italy;Goalkeeper;right;Aug 1, 2009;Jun 30, 2024;;;Atalanta BC;€175k;Feb 27, 2013;Francesco Rossi;ROSSI F.;126634;99999999;31;€100k;;;;;;
Dec 19, 1996;Ouragahio;26;183;Cote d'Ivoire / Italy;midfield - Central Midfield;right;Jul 4, 2022;Jun 30, 2026;Nike;Ambition Group;FC Barcelona;€55.00m;Jun 3, 2021;Franck Kessi;KESSIE' F.;294808;11498;19;€28.00m;;;;;;
Apr 4, 2003;Buenos Aires;20;190;Argentina / Italy;Defender - Left-Back;left;Jan 24, 2023;Jun 30, 2024;;Gr Sports;AC Monza;€1.00m;Jun 23, 2022;Franco Carboni;CARBONI F.;731491;99999999;11;€1.00m;;Buy-option with buy-back option;Inter Milan;Jun 30, 2026;;
Apr 22, 2000 Happy Birthday;Nueva Helvecia;23;190;Uruguay / Italy;Goalkeeper;right;Jul 5, 2022;Jun 30, 2027;Nike;GBG Global Business Group;Sporting CP;€1.00m;Jun 20, 2022;Franco Israel;ISRAEL F.;492319;99999999;12;€1.00m;;;;;;
Feb 18, 2000;Bentivoglio;23;172;Italy;Attack - Second Striker;both;Aug 20, 2022;Jun 30, 2023;adidas;TMP SOCCER srl;SSC Napoli;€35.00m;Nov 11, 2022;Giacomo Raspadori;RASPADORI G.;405885;14168;81;€35.00m;;Obligation to buy with conditions;US Sassuolo;Jun 30, 2024;;
Jan 11, 2000;Napoli;23;186;Italy;Defender - Centre-Back;right;Mar 20, 2023;Dec 31, 2023;;;CF Montréal;€800k;Jun 14, 2019;Gabriele Corbo;CORBO G.;423614;99999999;25;€500k;;;;;;
Dec 22, 1999;Monza;23;187;Italy;Defender - Right-Back;right;Jul 1, 2021;Jun 30, 2025;;Gr Sports;Cagliari Calcio;€7.00m;Dec 29, 2020;Gabriele Zappa;ZAPPA G.;392569;22194;28;€2.00m;;;;;;
Feb 17, 1997;Canosa di Puglia;26;187;Italy;midfield - Central Midfield;right;Jul 1, 2017;Jun 30, 2024;;World Soccer Agency;ACF Fiorentina;€25.00m;Dec 12, 2019;Gaetano Castrovilli;CASTROVILLI G.;303116;19825;10;€10.00m;Oct 10, 2019;;;;;
Aug 3, 1987;Conchalí;35;171;Chile / Spain;midfield - Defensive Midfield;right;Aug 29, 2019;Jun 30, 2023;Nike;Fernando Felicevich;Bologna FC 1909;€13.00m;Sep 18, 2013;Gary Medel;MEDEL G.;60889;3768;17;€1.00m;May 11, 2022;;;;;
Jun 11, 1995;Montevideo;27;188;Uruguay;midfield - Attacking Midfield;left;Jan 14, 2023;Jun 30, 2023;;Paco Casal;Club Nacional;€15.00m;Oct 4, 2018;Gast n Pereiro;PEREIRO G.;264116;3779;20;€2.00m;;;Cagliari Calcio;Jun 30, 2025;;
Feb 5, 1996;Patras;27;182;Greece;Defender - Left-Back;left;Jan 31, 2023;Jun 30, 2023;Nike;SPORTS CONNECTION;Bologna FC 1909;€5.00m;Mar 15, 2022;Georgios Kyriakopoulos;KYRIAKOPOULOS G.;311178;15349;77;€5.00m;;Option to buy;US Sassuolo;Jun 30, 2025;;
Mar 13, 1994;Riudarenes;29;177;Spain;Attack - Centre-Forward;right;Jan 30, 2021;Jun 30, 2024;Nike;Regenera Elite;Udinese Calcio;€25.00m;Jun 13, 2019;Gerard Deulofeu;DEULOFEU G.;129476;3848;10;€13.00m;;;;;;
Aug 25, 2002;Barcelona;20;170;Spain;midfield - Defensive Midfield;right;Jul 1, 2022;Jun 30, 2025;;Roberto Calenda;UC Sampdoria;€500k;Jun 23, 2022;Gerard Yepes;YEPES G.;624436;99999999;28;€500k;Jul 5, 2022;;;;;
Jun 27, 1991;Bahia Blanca;31;187;Argentina / Italy;Defender - Centre-Back;right;Aug 19, 2021;Jun 30, 2025;;Guastadisegno;Real Betis Balompié;€20.00m;Dec 20, 2018;Germ n Pezzella;PEZZELLA G.;113133;3972;16;€5.00m;;;;;;
Aug 22, 1989;San Severino Marche;33;180;Italy;midfield - Central Midfield;right;Sep 10, 2020;Jun 30, 2024;adidas;Team Raiola;ACF Fiorentina;€24.00m;Jan 2, 2017;Giacomo Bonaventura;BONAVENTURA G.;57280;3879;5;€2.50m;Jan 14, 2023;performance option;;;;
May 5, 2000;Cimitile;22;183;Italy;midfield - Attacking Midfield;right;Jul 1, 2019;Jun 30, 2025;;P&P Sport Management S.A.M.;SSC Napoli;€4.50m;Jun 6, 2022;Gianluca Gaetano;GAETANO G.;358008;99999999;70;€4.50m;;;;;;
May 20, 1999;Putignano;23;188;Italy;Goalkeeper;right;Aug 2, 2022;Jun 30, 2023;;S!;Carrarese Calcio 1908;€250k;Jul 24, 2020;Giacomo Satalino;SATALINO G.;323255;99999999;22;€200k;;;US Sassuolo;-;;
May 15, 1992;Parma;30;189;Italy;Defender - Centre-Back;left;Aug 30, 2016;Jun 30, 2024;Puma;P&P Sport Management S.A.M.;US Sassuolo;€14.00m;Dec 20, 2018;Gian Marco Ferrari;FERRARI G.;277167;14171;13;€5.00m;;;;;;
Oct 4, 1995;Correggio;27;191;Italy;Defender - Centre-Back;right;Jul 1, 2021;Jun 30, 2025;;TMP SOCCER srl;Hellas Verona;€5.00m;Dec 20, 2018;Giangiacomo Magnani;MAGNANI G.;310458;99999999;23;€3.00m;;;;;;
Oct 4, 1995;Correggio;27;191;Italy;Defender - Centre-Back;right;Jul 1, 2021;Jun 30, 2025;;TMP SOCCER srl;Hellas Verona;€5.00m;Dec 20, 2018;Giangiacomo Magnani;MAGNANI G.;310458;99999999;23;€3.00m;;;;;;
May 28, 2002;Greensboro, North Carolina;20;172;United States / Italy;midfield - Central Midfield;right;Aug 9, 2021;Jun 30, 2025;Nike;Octagon;Venezia FC;€10.00m;Dec 28, 2021;Gianluca Busio;BUSIO G.;504209;34514;6;€5.00m;Jul 29, 2022;;;;;
Jul 30, 1993;Roma;29;171;Italy;Attack - Second Striker;right;Jul 21, 2022;Jun 30, 2023;;SP GROUP;AC Monza;€10.00m;Oct 12, 2018;Gianluca Caprari;CAPRARI G.;146752;3889;17;€9.00m;;Obligation to buy with conditions;Hellas Verona;-;;
Jul 30, 1993;Roma;29;171;Italy;Attack - Second Striker;right;Jul 21, 2022;Jun 30, 2023;;SP GROUP;AC Monza;€10.00m;Oct 12, 2018;Gianluca Caprari;CAPRARI G.;146752;3889;17;€9.00m;;Obligation to buy with conditions;Hellas Verona;-;;
Jun 24, 1999;Roma;23;187;Italy;Defender - Left-Back;left;Sep 1, 2022;Jun 30, 2023;;Vigo Global Sport Services Srl;Frosinone Calcio;€2.50m;Oct 29, 2020;Gianluca Frabotta;FRABOTTA G.;386755;99999999;99;€1.60m;;;US Lecce;Jun 30, 2023;;
