Player,Team,Match,Competition,Position,Position Group,Season,Minutes Played,Minutes Played TIP,Minutes Played OTIP,Player ID,Birthdate,Date,Physicals Quality Check,Distance,M/min,Running Distance,HSR Distance,Sprinting Distance,HI Distance,Count HSR,Count Sprint,Count HI,Count Medium Acceleration,Count High Acceleration,Count Medium Deceleration,Count High Deceleration,PSV-99,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,Sprinting Distance TIP,HI Distance TIP,Count HSR TIP,Count Sprint TIP,Count HI TIP,Count Medium Acceleration TIP,Count High Acceleration TIP,Count Medium Deceleration TIP,Count High Deceleration TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,Sprinting Distance OTIP,HI Distance OTIP,Count HSR OTIP,Count Sprint OTIP,Count HI OTIP,Count Medium Acceleration OTIP,Count High Acceleration OTIP,Count Medium Deceleration OTIP,Count High Deceleration OTIP,matchday
Roberto Soriano,Bologna,Bologna v Torino,ITA - Serie A,LF,Forward,2021/2022,34.5,7.12,10.33,9145,1991-02-08,2022-03-06,Passed,4037.0,117.01,741.0,266.0,43.0,309.0,29.0,3.0,32.0,48.0,4.0,35.0,5.0,29.8,1137.0,159.69,267.0,121.0,17.0,138.0,13.0,2.0,15.0,12.0,1.0,7.0,1.0,1590.0,153.92,401.0,112.0,25.0,137.0,12.0,1.0,13.0,14.0,1.0,10.0,1.0,28
Antonio Sanabria,Torino,Bologna v Torino,ITA - Serie A,CF,Forward,2021/2022,9.08,3.2,2.27,995,1996-03-04,2022-03-06,Passed,1013.0,111.56,138.0,58.0,34.0,92.0,3.0,2.0,5.0,10.0,1.0,12.0,1.0,28.6,414.0,129.38,75.0,37.0,16.0,53.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,297.0,130.84,24.0,3.0,17.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,28
Luis Binks,Bologna,Bologna v Torino,ITA - Serie A,CB,Central Defender,2021/2022,14.1,3.17,3.93,36504,2001-09-02,2022-03-06,Passed,1381.0,97.94,221.0,82.0,3.0,85.0,6.0,1.0,7.0,18.0,1.0,13.0,3.0,25.8,389.0,122.71,50.0,22.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,522.0,132.82,127.0,45.0,3.0,48.0,5.0,1.0,6.0,10.0,1.0,3.0,1.0,28
Danilo,Juventus,Juventus v Spezia Calcio,ITA - Serie A,RWB,Full Back,2021/2022,93.33,34.71,24.78,2295,1991-07-15,2022-03-06,Passed,9852.0,105.56,1335.0,624.0,144.0,768.0,57.0,8.0,65.0,118.0,16.0,103.0,19.0,27.2,4325.0,124.6,653.0,404.0,109.0,513.0,31.0,6.0,37.0,44.0,5.0,36.0,5.0,3337.0,134.67,613.0,200.0,32.0,232.0,24.0,1.0,25.0,43.0,4.0,28.0,5.0,28
Arthur,Juventus,Juventus v Spezia Calcio,ITA - Serie A,LM,Midfield,2021/2022,93.33,34.71,24.78,12644,1996-08-12,2022-03-06,Passed,11531.0,123.55,1578.0,609.0,110.0,719.0,49.0,9.0,58.0,96.0,5.0,93.0,15.0,26.5,5101.0,146.96,702.0,317.0,66.0,383.0,20.0,4.0,24.0,30.0,2.0,27.0,3.0,4080.0,164.65,834.0,268.0,34.0,302.0,22.0,3.0,25.0,43.0,1.0,29.0,5.0,28
Dimitris Nikolaou,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,LCB,Central Defender,2021/2022,93.33,24.78,34.71,12898,1998-08-13,2022-03-06,Passed,9880.0,105.86,1193.0,365.0,123.0,488.0,31.0,6.0,37.0,87.0,6.0,84.0,14.0,29.4,2833.0,114.33,260.0,51.0,26.0,77.0,4.0,1.0,5.0,18.0,0.0,17.0,2.0,4715.0,135.84,747.0,286.0,78.0,364.0,22.0,4.0,26.0,44.0,1.0,33.0,4.0,28
Rey Manaj,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,CF,Forward,2021/2022,75.91,20.35,29.3,17479,1997-02-24,2022-03-06,Passed,9275.0,122.18,1143.0,376.0,131.0,507.0,41.0,5.0,46.0,96.0,9.0,88.0,10.0,27.9,2785.0,136.86,427.0,138.0,35.0,173.0,16.0,1.0,17.0,30.0,2.0,17.0,0.0,4432.0,151.26,663.0,231.0,74.0,305.0,22.0,3.0,25.0,42.0,3.0,37.0,5.0,28
Alvaro Morata,Juventus,Juventus v Spezia Calcio,ITA - Serie A,RF,Forward,2021/2022,93.33,34.71,24.78,646,1992-10-23,2022-03-06,Passed,10672.0,114.35,1376.0,566.0,180.0,746.0,49.0,10.0,59.0,91.0,9.0,92.0,17.0,28.7,4856.0,139.9,763.0,306.0,127.0,433.0,30.0,5.0,35.0,43.0,5.0,34.0,6.0,3335.0,134.58,476.0,230.0,43.0,273.0,16.0,3.0,19.0,22.0,1.0,21.0,4.0,28
Juan Cuadrado,Juventus,Juventus v Spezia Calcio,ITA - Serie A,RW,Winger,2021/2022,93.33,34.71,24.78,5511,1988-05-26,2022-03-06,Passed,10650.0,114.11,1391.0,629.0,200.0,829.0,54.0,13.0,67.0,115.0,10.0,97.0,19.0,28.6,4585.0,132.09,707.0,387.0,131.0,518.0,31.0,7.0,38.0,49.0,4.0,32.0,5.0,3589.0,144.83,604.0,201.0,51.0,252.0,18.0,5.0,23.0,35.0,3.0,24.0,5.0,28
Adrien Rabiot,Juventus,Juventus v Spezia Calcio,ITA - Serie A,LW,Winger,2021/2022,93.33,34.71,24.78,277,1995-04-03,2022-03-06,Passed,11467.0,122.87,1730.0,747.0,256.0,1003.0,65.0,15.0,80.0,110.0,10.0,103.0,20.0,29.1,5140.0,148.08,846.0,402.0,201.0,603.0,31.0,10.0,41.0,48.0,2.0,34.0,5.0,3945.0,159.2,793.0,295.0,45.0,340.0,28.0,4.0,32.0,46.0,4.0,29.0,7.0,28
Kevin Agudelo,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,RF,Forward,2021/2022,93.33,24.78,34.71,24246,1998-11-14,2022-03-06,Passed,11434.0,122.51,1629.0,495.0,120.0,615.0,49.0,9.0,58.0,108.0,9.0,105.0,17.0,27.3,3639.0,146.85,601.0,188.0,31.0,219.0,19.0,2.0,21.0,37.0,3.0,24.0,3.0,5285.0,152.26,922.0,294.0,75.0,369.0,26.0,4.0,30.0,45.0,3.0,38.0,5.0,28
Manuel Locatelli,Juventus,Juventus v Spezia Calcio,ITA - Serie A,RM,Midfield,2021/2022,93.33,34.71,24.78,14174,1998-01-08,2022-03-06,Passed,11897.0,127.47,1980.0,463.0,46.0,509.0,42.0,4.0,46.0,94.0,2.0,98.0,11.0,25.0,5168.0,148.89,881.0,270.0,25.0,295.0,20.0,3.0,23.0,32.0,0.0,29.0,4.0,4234.0,170.86,996.0,193.0,17.0,210.0,19.0,1.0,20.0,38.0,1.0,29.0,2.0,28
Salva Ferrer,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,RWB,Full Back,2021/2022,93.33,24.78,34.71,27628,1998-01-21,2022-03-06,Passed,11173.0,119.71,1647.0,700.0,269.0,969.0,63.0,15.0,78.0,120.0,10.0,97.0,15.0,28.8,3619.0,146.05,638.0,294.0,86.0,380.0,27.0,7.0,34.0,32.0,3.0,25.0,2.0,5015.0,144.48,850.0,373.0,136.0,509.0,31.0,6.0,37.0,59.0,3.0,39.0,6.0,28
Dusan Vlahovic,Juventus,Juventus v Spezia Calcio,ITA - Serie A,CF,Forward,2021/2022,85.03,32.06,22.83,14068,2000-01-28,2022-03-06,Passed,9516.0,111.91,1127.0,621.0,228.0,849.0,57.0,13.0,70.0,103.0,8.0,93.0,17.0,29.0,4360.0,136.0,600.0,396.0,186.0,582.0,35.0,10.0,45.0,47.0,4.0,32.0,4.0,2939.0,128.73,429.0,176.0,22.0,198.0,16.0,1.0,17.0,25.0,1.0,20.0,5.0,28
Emmanuel Gyasi,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,LW,Winger,2021/2022,93.33,24.78,34.71,19873,1994-01-11,2022-03-06,Passed,11035.0,118.24,1458.0,693.0,251.0,944.0,56.0,18.0,74.0,111.0,8.0,95.0,25.0,28.5,3360.0,135.59,506.0,197.0,40.0,237.0,19.0,3.0,22.0,36.0,0.0,20.0,4.0,5069.0,146.04,865.0,480.0,186.0,666.0,34.0,14.0,48.0,48.0,3.0,36.0,10.0,28
Daniele Rugani,Juventus,Juventus v Spezia Calcio,ITA - Serie A,LCB,Central Defender,2021/2022,93.33,34.71,24.78,2274,1994-07-29,2022-03-06,Passed,10012.0,107.28,926.0,279.0,54.0,333.0,25.0,3.0,28.0,95.0,3.0,87.0,4.0,27.4,4208.0,121.23,417.0,80.0,20.0,100.0,5.0,1.0,6.0,30.0,0.0,27.0,0.0,3461.0,139.67,465.0,197.0,18.0,215.0,16.0,2.0,18.0,44.0,1.0,28.0,2.0,28
Simone Bastoni,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,LM,Midfield,2021/2022,93.33,24.78,34.71,19880,1996-11-05,2022-03-06,Passed,12371.0,132.55,2026.0,499.0,78.0,577.0,40.0,4.0,44.0,89.0,5.0,105.0,12.0,25.0,3959.0,159.77,707.0,136.0,9.0,145.0,15.0,1.0,16.0,26.0,1.0,20.0,3.0,5720.0,164.79,1173.0,346.0,63.0,409.0,23.0,2.0,25.0,42.0,3.0,44.0,3.0,28
Daniele Verde,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,RW,Winger,2021/2022,93.33,24.78,34.71,2276,1996-06-20,2022-03-06,Passed,11220.0,120.22,1601.0,677.0,102.0,779.0,49.0,6.0,55.0,95.0,7.0,88.0,18.0,26.1,3626.0,146.33,567.0,304.0,44.0,348.0,23.0,2.0,25.0,35.0,2.0,20.0,2.0,4970.0,143.19,914.0,343.0,55.0,398.0,22.0,3.0,25.0,42.0,2.0,38.0,8.0,28
Arkadiusz Reca,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,LWB,Full Back,2021/2022,93.33,24.78,34.71,12501,1995-06-17,2022-03-06,Passed,11046.0,118.35,1362.0,724.0,271.0,995.0,65.0,18.0,83.0,104.0,12.0,90.0,21.0,29.0,3421.0,138.05,463.0,221.0,65.0,286.0,24.0,3.0,27.0,25.0,3.0,21.0,4.0,4942.0,142.38,762.0,442.0,188.0,630.0,36.0,12.0,48.0,53.0,4.0,35.0,8.0,28
Giulio Maggiore,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,RM,Midfield,2021/2022,75.91,20.35,29.3,19885,1998-03-12,2022-03-06,Passed,9711.0,127.93,1674.0,429.0,56.0,485.0,38.0,3.0,41.0,91.0,1.0,97.0,14.0,25.8,2992.0,147.03,551.0,97.0,28.0,125.0,11.0,2.0,13.0,25.0,0.0,21.0,3.0,4681.0,159.76,1024.0,312.0,22.0,334.0,26.0,1.0,27.0,40.0,0.0,40.0,4.0,28
Matthijs de Ligt,Juventus,Juventus v Spezia Calcio,ITA - Serie A,RCB,Central Defender,2021/2022,93.33,34.71,24.78,11559,1999-08-12,2022-03-06,Passed,9799.0,104.99,955.0,276.0,49.0,325.0,25.0,3.0,28.0,96.0,7.0,79.0,8.0,27.2,4193.0,120.8,464.0,110.0,15.0,125.0,9.0,1.0,10.0,29.0,1.0,26.0,1.0,3343.0,134.91,425.0,146.0,29.0,175.0,13.0,1.0,14.0,42.0,2.0,23.0,3.0,28
Martin Erlic,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,RCB,Central Defender,2021/2022,93.33,24.78,34.71,19888,1998-01-24,2022-03-06,Passed,9857.0,105.61,1179.0,363.0,147.0,510.0,27.0,6.0,33.0,96.0,8.0,87.0,12.0,30.4,2973.0,119.98,364.0,66.0,19.0,85.0,6.0,1.0,7.0,21.0,1.0,19.0,2.0,4593.0,132.32,655.0,261.0,113.0,374.0,17.0,4.0,21.0,46.0,1.0,33.0,5.0,28
Luca Pellegrini,Juventus,Juventus v Spezia Calcio,ITA - Serie A,LWB,Full Back,2021/2022,62.78,25.31,17.2,12762,1999-03-07,2022-03-06,Passed,6762.0,107.71,836.0,283.0,131.0,414.0,29.0,5.0,34.0,72.0,6.0,49.0,13.0,34.3,2959.0,116.91,401.0,144.0,83.0,227.0,15.0,3.0,18.0,29.0,3.0,18.0,4.0,2361.0,137.27,411.0,138.0,36.0,174.0,12.0,2.0,14.0,29.0,1.0,14.0,4.0,28
Moise Kean,Juventus,Juventus v Spezia Calcio,ITA - Serie A,RF,Forward,2021/2022,8.3,2.65,1.95,12769,2000-02-28,2022-03-06,Passed,964.0,116.14,159.0,89.0,30.0,119.0,7.0,1.0,8.0,11.0,1.0,10.0,4.0,27.2,312.0,117.74,54.0,33.0,5.0,38.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,,,,,,,,,,,,,,28
Federico Bernardeschi,Juventus,Juventus v Spezia Calcio,ITA - Serie A,RW,Winger,2021/2022,30.55,9.4,7.57,3333,1994-02-16,2022-03-06,Passed,3420.0,111.95,530.0,232.0,18.0,250.0,21.0,2.0,23.0,39.0,4.0,37.0,7.0,25.2,1346.0,143.19,267.0,96.0,11.0,107.0,10.0,1.0,11.0,15.0,2.0,11.0,1.0,1181.0,156.01,233.0,134.0,7.0,141.0,10.0,1.0,11.0,14.0,1.0,10.0,2.0,28
Viktor Kovalenko,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,LW,Winger,2021/2022,17.42,4.42,5.42,12789,1996-02-14,2022-03-06,Passed,2074.0,119.06,444.0,171.0,15.0,186.0,17.0,1.0,18.0,23.0,2.0,19.0,4.0,25.4,680.0,153.85,136.0,72.0,0.0,72.0,7.0,0.0,7.0,7.0,1.0,5.0,1.0,893.0,164.76,276.0,87.0,15.0,102.0,8.0,1.0,9.0,9.0,0.0,5.0,1.0,28
Mehdi Bourabia,Spezia Calcio,Juventus v Spezia Calcio,ITA - Serie A,RM,Midfield,2021/2022,17.42,4.42,5.42,14173,1991-08-07,2022-03-06,Passed,2124.0,121.93,475.0,168.0,0.0,168.0,13.0,0.0,13.0,23.0,3.0,18.0,2.0,23.5,622.0,140.72,125.0,22.0,0.0,22.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,1002.0,184.87,321.0,144.0,0.0,144.0,9.0,0.0,9.0,9.0,1.0,8.0,1.0,28
Mario Rui,Napoli,Napoli v Milan,ITA - Serie A,LWB,Full Back,2021/2022,101.08,32.97,25.43,6905,1991-05-27,2022-03-06,Passed,10785.0,106.7,1694.0,811.0,335.0,1146.0,68.0,13.0,81.0,95.0,7.0,87.0,19.0,27.9,4206.0,127.57,701.0,334.0,120.0,454.0,27.0,5.0,32.0,36.0,1.0,29.0,5.0,3597.0,141.45,774.0,408.0,180.0,588.0,37.0,8.0,45.0,34.0,3.0,24.0,4.0,28
Olivier Giroud,Milan,Napoli v Milan,ITA - Serie A,CF,Forward,2021/2022,72.0,19.61,24.47,8206,1986-09-30,2022-03-06,Passed,7745.0,107.57,1161.0,447.0,224.0,671.0,43.0,10.0,53.0,83.0,7.0,57.0,19.0,29.5,2664.0,135.85,496.0,223.0,121.0,344.0,21.0,7.0,28.0,27.0,1.0,13.0,3.0,3084.0,126.03,549.0,196.0,87.0,283.0,19.0,3.0,22.0,31.0,2.0,21.0,9.0,28
Lorenzo Insigne,Napoli,Napoli v Milan,ITA - Serie A,LW,Winger,2021/2022,71.43,24.47,19.61,6286,1991-06-04,2022-03-06,Passed,8921.0,124.89,1617.0,750.0,266.0,1016.0,63.0,13.0,76.0,77.0,8.0,69.0,13.0,27.7,3601.0,147.16,702.0,385.0,114.0,499.0,31.0,5.0,36.0,37.0,2.0,21.0,3.0,3117.0,158.95,751.0,322.0,126.0,448.0,30.0,5.0,35.0,20.0,2.0,18.0,4.0,28
Piotr Zielinski,Napoli,Napoli v Milan,ITA - Serie A,AM,Midfield,2021/2022,85.83,27.85,22.76,8723,1994-05-20,2022-03-06,Passed,11131.0,129.69,1962.0,634.0,131.0,765.0,51.0,6.0,57.0,102.0,6.0,74.0,10.0,27.4,4540.0,163.02,959.0,315.0,82.0,397.0,25.0,3.0,28.0,43.0,1.0,23.0,3.0,3733.0,164.02,845.0,283.0,43.0,326.0,23.0,2.0,25.0,29.0,2.0,21.0,3.0,28
Fikayo Tomori,Milan,Napoli v Milan,ITA - Serie A,LCB,Central Defender,2021/2022,101.08,25.43,32.97,18779,1997-12-19,2022-03-06,Passed,10195.0,100.86,1358.0,373.0,222.0,595.0,33.0,10.0,43.0,94.0,8.0,69.0,11.0,31.2,3082.0,121.2,363.0,85.0,32.0,117.0,6.0,2.0,8.0,20.0,2.0,14.0,2.0,4340.0,131.63,759.0,249.0,175.0,424.0,25.0,8.0,33.0,43.0,2.0,27.0,4.0,28
Fabián Ruiz,Napoli,Napoli v Milan,ITA - Serie A,RM,Midfield,2021/2022,80.07,26.29,21.76,12924,1996-04-03,2022-03-06,Passed,10149.0,126.75,1903.0,511.0,38.0,549.0,41.0,3.0,44.0,86.0,2.0,79.0,18.0,25.1,3918.0,149.03,744.0,177.0,7.0,184.0,14.0,0.0,14.0,33.0,1.0,29.0,4.0,3768.0,173.16,987.0,307.0,30.0,337.0,23.0,2.0,25.0,29.0,1.0,21.0,5.0,28
Victor Osimhen,Napoli,Napoli v Milan,ITA - Serie A,CF,Forward,2021/2022,101.08,32.97,25.43,14559,1998-12-29,2022-03-06,Passed,9853.0,97.48,974.0,601.0,469.0,1070.0,53.0,21.0,74.0,89.0,17.0,67.0,23.0,33.7,4014.0,121.75,581.0,328.0,246.0,574.0,29.0,12.0,41.0,41.0,5.0,25.0,5.0,3119.0,122.65,341.0,232.0,171.0,403.0,18.0,7.0,25.0,23.0,2.0,18.0,4.0,28
Franck Kessié,Milan,Napoli v Milan,ITA - Serie A,LM,Midfield,2021/2022,101.08,25.43,32.97,11498,1996-12-19,2022-03-06,Passed,12121.0,119.91,2310.0,705.0,73.0,778.0,59.0,3.0,62.0,109.0,5.0,99.0,9.0,25.0,3685.0,144.91,752.0,222.0,18.0,240.0,19.0,0.0,19.0,28.0,1.0,19.0,0.0,5462.0,165.67,1382.0,444.0,55.0,499.0,35.0,1.0,36.0,50.0,1.0,41.0,4.0,28
Théo Hernandez,Milan,Napoli v Milan,ITA - Serie A,LWB,Full Back,2021/2022,101.08,25.43,32.97,11606,1997-10-06,2022-03-06,Passed,10802.0,106.87,1394.0,784.0,488.0,1272.0,60.0,20.0,80.0,91.0,4.0,82.0,15.0,31.8,3528.0,138.73,496.0,356.0,362.0,718.0,28.0,13.0,41.0,24.0,1.0,20.0,3.0,4344.0,131.76,763.0,369.0,88.0,457.0,29.0,6.0,35.0,42.0,0.0,31.0,3.0,28
Kalidou Koulibaly,Napoli,Napoli v Milan,ITA - Serie A,LCB,Central Defender,2021/2022,101.08,32.97,25.43,5670,1991-06-20,2022-03-06,Passed,9742.0,96.38,1246.0,543.0,294.0,837.0,42.0,13.0,55.0,92.0,6.0,77.0,11.0,29.8,3629.0,110.07,329.0,129.0,71.0,200.0,9.0,2.0,11.0,29.0,0.0,27.0,3.0,3471.0,136.49,743.0,326.0,169.0,495.0,28.0,8.0,36.0,37.0,2.0,22.0,1.0,28
Sandro Tonali,Milan,Napoli v Milan,ITA - Serie A,DM,Midfield,2021/2022,72.0,19.61,24.47,19844,2000-05-08,2022-03-06,Passed,9628.0,133.72,1796.0,415.0,180.0,595.0,31.0,7.0,38.0,84.0,7.0,63.0,11.0,28.2,3083.0,157.22,473.0,113.0,76.0,189.0,10.0,2.0,12.0,22.0,2.0,15.0,1.0,4197.0,171.52,1150.0,282.0,102.0,384.0,18.0,4.0,22.0,37.0,3.0,24.0,4.0,28
Matteo Politano,Napoli,Napoli v Milan,ITA - Serie A,RW,Winger,2021/2022,71.43,24.47,19.61,7236,1993-08-03,2022-03-06,Passed,8338.0,116.73,1534.0,593.0,216.0,809.0,53.0,9.0,62.0,81.0,6.0,56.0,15.0,28.4,3324.0,135.84,677.0,291.0,113.0,404.0,25.0,3.0,28.0,33.0,2.0,19.0,4.0,2957.0,150.79,706.0,269.0,92.0,361.0,24.0,4.0,28.0,23.0,2.0,15.0,3.0,28
Rafael Leao,Milan,Napoli v Milan,ITA - Serie A,LW,Winger,2021/2022,93.42,24.48,31.4,12840,1999-06-10,2022-03-06,Passed,10021.0,107.27,1261.0,756.0,403.0,1159.0,63.0,19.0,82.0,88.0,7.0,59.0,14.0,30.8,3413.0,139.42,605.0,441.0,226.0,667.0,39.0,12.0,51.0,32.0,4.0,15.0,2.0,3937.0,125.38,570.0,226.0,149.0,375.0,19.0,6.0,25.0,34.0,3.0,23.0,3.0,28
Amir Rrahmani,Napoli,Napoli v Milan,ITA - Serie A,RCB,Central Defender,2021/2022,101.08,32.97,25.43,13580,1994-02-24,2022-03-06,Passed,10244.0,101.35,1377.0,486.0,129.0,615.0,42.0,8.0,50.0,96.0,6.0,74.0,12.0,27.5,3976.0,120.59,477.0,109.0,12.0,121.0,9.0,1.0,10.0,34.0,1.0,27.0,3.0,3489.0,137.2,694.0,332.0,105.0,437.0,30.0,6.0,36.0,36.0,2.0,21.0,3.0,28
Stanislav Lobotka,Napoli,Napoli v Milan,ITA - Serie A,LM,Midfield,2021/2022,85.83,27.85,22.76,11208,1994-11-25,2022-03-06,Passed,10010.0,116.63,1653.0,461.0,67.0,528.0,42.0,3.0,45.0,98.0,5.0,87.0,15.0,26.3,3982.0,142.98,586.0,143.0,38.0,181.0,13.0,1.0,14.0,38.0,2.0,30.0,2.0,3512.0,154.31,916.0,304.0,17.0,321.0,26.0,1.0,27.0,29.0,2.0,23.0,4.0,28
Pierre Kalulu,Milan,Napoli v Milan,ITA - Serie A,RCB,Central Defender,2021/2022,101.08,25.43,32.97,24786,2000-06-05,2022-03-06,Passed,10064.0,99.56,1206.0,455.0,240.0,695.0,36.0,13.0,49.0,96.0,6.0,66.0,8.0,31.7,3193.0,125.56,380.0,108.0,70.0,178.0,7.0,2.0,9.0,20.0,0.0,15.0,1.0,4127.0,125.17,615.0,295.0,136.0,431.0,25.0,7.0,32.0,43.0,3.0,27.0,0.0,28
Davide Calabria,Milan,Napoli v Milan,ITA - Serie A,RWB,Full Back,2021/2022,84.03,22.38,27.34,2524,1996-12-06,2022-03-06,Passed,9942.0,118.31,1713.0,612.0,166.0,778.0,57.0,7.0,64.0,101.0,6.0,73.0,18.0,29.3,3109.0,138.92,487.0,229.0,91.0,320.0,23.0,3.0,26.0,28.0,0.0,16.0,2.0,4055.0,148.32,990.0,345.0,54.0,399.0,31.0,3.0,34.0,42.0,3.0,24.0,7.0,28
Junior Messias,Milan,Napoli v Milan,ITA - Serie A,RW,Winger,2021/2022,84.03,22.38,27.34,27565,1991-05-13,2022-03-06,Passed,10105.0,120.25,1788.0,806.0,226.0,1032.0,64.0,14.0,78.0,93.0,14.0,83.0,25.0,30.4,3201.0,143.03,693.0,362.0,119.0,481.0,29.0,6.0,35.0,32.0,3.0,17.0,4.0,4049.0,148.1,868.0,406.0,98.0,504.0,31.0,6.0,37.0,33.0,5.0,28.0,8.0,28
Giovanni Di Lorenzo,Napoli,Napoli v Milan,ITA - Serie A,RWB,Full Back,2021/2022,101.08,32.97,25.43,14122,1993-08-04,2022-03-06,Passed,11121.0,110.02,1606.0,917.0,514.0,1431.0,68.0,22.0,90.0,97.0,14.0,86.0,23.0,30.8,4443.0,134.76,729.0,382.0,235.0,617.0,31.0,9.0,40.0,37.0,6.0,35.0,7.0,3683.0,144.83,714.0,442.0,265.0,707.0,32.0,11.0,43.0,35.0,2.0,22.0,5.0,28
Ismael Bennacer,Milan,Napoli v Milan,ITA - Serie A,RM,Midfield,2021/2022,101.08,25.43,32.97,14125,1997-12-01,2022-03-06,Passed,11670.0,115.45,2187.0,744.0,112.0,856.0,75.0,9.0,84.0,117.0,11.0,103.0,18.0,26.1,3500.0,137.63,710.0,237.0,40.0,277.0,22.0,4.0,26.0,29.0,1.0,17.0,2.0,5267.0,159.75,1277.0,470.0,68.0,538.0,46.0,5.0,51.0,46.0,4.0,45.0,7.0,28
Ante Rebic,Milan,Napoli v Milan,ITA - Serie A,CF,Forward,2021/2022,29.08,5.8,8.48,903,1993-09-21,2022-03-06,Passed,2976.0,102.34,491.0,226.0,69.0,295.0,19.0,6.0,25.0,29.0,3.0,22.0,4.0,29.5,746.0,128.62,153.0,96.0,21.0,117.0,8.0,2.0,10.0,8.0,0.0,4.0,0.0,1203.0,141.86,259.0,106.0,37.0,143.0,10.0,2.0,12.0,10.0,1.0,8.0,2.0,28
Eljif Elmas,Napoli,Napoli v Milan,ITA - Serie A,LW,Winger,2021/2022,29.65,8.48,5.8,13773,1999-09-24,2022-03-06,Passed,3148.0,106.17,521.0,174.0,40.0,214.0,16.0,3.0,19.0,31.0,3.0,26.0,5.0,27.9,1230.0,145.05,289.0,77.0,15.0,92.0,7.0,1.0,8.0,13.0,1.0,8.0,1.0,854.0,147.24,166.0,96.0,25.0,121.0,8.0,2.0,10.0,7.0,0.0,5.0,0.0,28
Alexis Saelemaekers,Milan,Napoli v Milan,ITA - Serie A,RW,Winger,2021/2022,17.05,3.03,5.62,14543,1999-06-27,2022-03-06,Passed,1966.0,115.31,360.0,206.0,48.0,254.0,20.0,4.0,24.0,17.0,2.0,13.0,4.0,26.3,523.0,172.61,127.0,101.0,28.0,129.0,8.0,2.0,10.0,5.0,1.0,2.0,1.0,840.0,149.47,168.0,79.0,19.0,98.0,7.0,1.0,8.0,5.0,1.0,4.0,2.0,28
Dries Mertens,Napoli,Napoli v Milan,ITA - Serie A,AM,Midfield,2021/2022,21.02,6.68,3.67,2870,1987-05-06,2022-03-06,Passed,2135.0,101.57,353.0,129.0,16.0,145.0,11.0,1.0,12.0,18.0,2.0,16.0,3.0,25.3,931.0,139.37,223.0,52.0,0.0,52.0,8.0,0.0,8.0,6.0,1.0,8.0,1.0,533.0,145.23,98.0,63.0,14.0,77.0,3.0,1.0,4.0,3.0,0.0,2.0,1.0,28
Rade Krunic,Milan,Napoli v Milan,ITA - Serie A,RM,Midfield,2021/2022,29.08,5.8,8.48,8772,1993-10-07,2022-03-06,Passed,3113.0,107.05,599.0,163.0,4.0,167.0,18.0,0.0,18.0,33.0,2.0,28.0,4.0,23.7,773.0,133.28,123.0,19.0,0.0,19.0,2.0,0.0,2.0,6.0,1.0,3.0,0.0,1480.0,174.53,423.0,143.0,4.0,147.0,15.0,0.0,15.0,16.0,1.0,14.0,2.0,28
Alessandro Florenzi,Milan,Napoli v Milan,ITA - Serie A,RWB,Full Back,2021/2022,17.05,3.03,5.62,456,1991-03-11,2022-03-06,Passed,1595.0,93.55,229.0,77.0,5.0,82.0,8.0,1.0,9.0,17.0,2.0,13.0,3.0,25.0,354.0,116.83,37.0,29.0,0.0,29.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,696.0,123.84,136.0,31.0,0.0,31.0,4.0,0.0,4.0,7.0,0.0,5.0,1.0,28
Andre Anguissa,Napoli,Napoli v Milan,ITA - Serie A,RM,Midfield,2021/2022,15.25,5.1,2.65,713,1995-11-16,2022-03-06,Passed,1614.0,105.84,264.0,112.0,37.0,149.0,12.0,1.0,13.0,17.0,1.0,10.0,3.0,27.1,756.0,148.24,153.0,72.0,17.0,89.0,8.0,0.0,8.0,7.0,0.0,6.0,1.0,412.0,155.47,96.0,31.0,19.0,50.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,28
